OTUs,Taxon
OTU101,k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__Unknown_family; g__Unknown_genus403; s__Unknown_species1
OTU1011,k__Bacteria; p__Acidobacteria; c__DA052; o__Ellin6513; f__Unknown_family; g__Unknown_genus18; s__Unknown_species1
OTU105,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__Unknown_species1242
OTU1052,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Unknown_family; g__Unknown_genus425; s__Unknown_species1
OTU106,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Unknown_family; g__Unknown_genus580; s__Unknown_species1
OTU1060,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Unknown_family; g__Unknown_genus813; s__Unknown_species1
OTU1067,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Unknown_family; g__Unknown_genus872; s__Unknown_species1
OTU1069,k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cyclobacteriaceae; g__Unknown_genus2; s__Unknown_species1
OTU1070,k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cyclobacteriaceae; g__Unknown_genus20; s__Unknown_species2
OTU1083,k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Adhaeribacter; s__Unknown_species101
OTU11,k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Adhaeribacter; s__Unknown_species34
OTU1101,k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Arcicella; s__Arcicella_aquatica
OTU1102,k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Arcicella; s__Unknown_species1
OTU1104,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__Unknown_species1253
