OTUs,DISEASE_1,DISEASE_2,DISEASE_3,DISEASE_4,HEALTHY_1,HEALTHY_2,HEALTHY_3,HEALTHY_4,BLANK_1,BLANK_2,BLANK_3,BLANK_4
OTU101,0,0,0,0,0,0,44,0,0,0,0,0
OTU1011,11,103,0,44,252,167,106,173,223,88,96,31
OTU105,0,0,0,0,0,0,39,0,0,0,0,0
OTU1052,0,0,0,0,32,0,0,0,0,0,0,121
OTU106,0,0,0,0,0,0,0,12,0,8,5,0
OTU1060,4,0,0,15,17,5,17,0,39,43,35,47
OTU1067,0,0,0,0,0,0,0,0,0,0,0,33
OTU1069,0,0,0,0,0,0,0,0,0,0,0,31
OTU1070,0,9,0,0,0,0,0,71,0,0,0,0
OTU1083,0,0,0,0,0,50,0,0,0,0,107,41
OTU11,0,0,0,0,0,29,0,0,0,0,0,0
OTU1101,941,5918,196,4160,8629,6242,9029,11689,12388,12038,9351,3781
OTU1102,0,0,0,0,0,0,64,0,0,0,0,0
OTU1104,101,0,0,0,0,0,0,0,0,0,0,188
OTU1105,0,13,0,0,0,0,82,0,0,74,0,0
OTU1106,0,0,0,0,0,0,0,0,42,0,0,0
OTU1110,0,0,0,19,0,0,21,0,0,0,37,0
OTU1114,0,0,0,0,0,57,0,0,0,0,0,0
OTU1115,0,15,0,4,6,0,0,0,0,7,121,7
OTU1125,0,12,0,0,60,0,43,0,50,0,0,0
OTU1126,0,0,0,0,0,0,0,0,0,0,0,82
OTU1132,0,0,0,0,0,0,32,0,0,138,0,0
OTU1133,0,0,0,0,0,0,0,49,0,0,0,0
OTU1145,0,0,0,0,7,0,0,0,21,0,0,8
OTU1146,0,13,0,0,0,0,0,0,57,0,66,27
OTU1152,0,0,0,0,0,0,0,0,0,0,59,0
OTU1154,0,0,0,0,0,0,0,0,0,0,0,29
OTU1157,0,0,0,0,0,0,0,82,0,0,0,0
OTU116,0,0,0,0,0,92,403,0,0,0,0,0
OTU1161,0,0,0,0,5,0,0,10,7,0,8,0
OTU1162,0,0,0,0,0,0,0,0,0,0,0,41
OTU1163,0,0,0,0,0,19,0,113,0,0,0,0
OTU1164,11,106,14,164,46,32,11,144,84,65,0,140
OTU1172,0,11,0,2,8,1,18,0,28,0,0,0
OTU1176,16,0,0,0,2,0,0,0,3,0,0,14
OTU1178,6,46,0,22,21,154,50,21,94,297,57,200
OTU1179,0,7,0,0,0,0,0,0,0,0,81,0
OTU1181,0,9,0,8,8,0,0,25,0,0,0,16
OTU1187,0,33,0,10,29,5,42,0,51,0,0,0
OTU1191,0,10,0,40,139,47,160,238,140,82,106,46
OTU1192,0,0,0,17,3,32,20,0,0,0,0,0
OTU1200,0,0,0,7,0,0,0,49,0,0,0,0
OTU1205,9,15,0,38,64,92,92,100,72,0,83,56
OTU1206,0,0,0,9,6,0,0,0,21,30,0,0
OTU1207,11,7,0,0,28,0,0,0,20,0,0,0
OTU121,0,0,0,0,0,0,0,0,36,0,0,80
OTU1213,0,22,0,0,0,0,0,0,0,0,0,21
OTU1216,18,0,0,0,33,0,0,0,15,0,103,0
OTU1217,0,0,0,0,0,0,0,0,0,0,49,0
OTU1219,0,0,0,0,19,0,0,25,14,0,41,0
OTU122,1140,0,0,0,0,0,0,0,0,0,0,149
OTU1220,0,0,0,0,0,0,0,0,0,0,0,24
OTU1222,0,0,0,0,0,0,0,0,0,0,0,38
OTU123,832,35,35,0,0,57,25,0,0,0,0,477
